date,close,volume,open,high,low
23-08-19,202.64,46882840,209.43,212.051,201
22-08-19,212.46,22267820,213.19,214.435,210.75
21-08-19,212.64,21564750,212.99,213.65,211.6032
20-08-19,210.36,26919530,210.88,213.35,210.32
19-08-19,210.35,24431920,210.62,212.7307,210.025
16-08-19,206.5,28813620,204.28,207.16,203.84
15-08-19,201.74,27883360,203.46,205.14,199.67
14-08-19,202.75,36547440,203.16,206.44,202.5869
13-08-19,208.97,47539790,201.02,212.14,200.83
12-08-19,200.48,22481890,199.62,202.0516,199.15
09-08-19,200.99,24619750,201.3,202.76,199.29
08-08-19,203.43,27009520,200.2,203.53,199.39
07-08-19,199.04,33364400,195.41,199.56,193.82
06-08-19,197,35824790,196.31,198.067,194.04
05-08-19,193.34,52392970,197.99,198.649,192.58
02-08-19,204.02,40862120,205.53,206.43,201.63
01-08-19,208.43,54017920,213.9,218.03,206.7435
31-07-19,213.04,69281360,216.42,221.37,211.3
30-07-19,208.78,33935720,208.76,210.16,207.31
29-07-19,209.68,21673390,208.46,210.64,208.44
26-07-19,207.74,17618870,207.48,209.73,207.14
25-07-19,207.02,13909560,208.89,209.24,206.73
24-07-19,208.67,14991570,207.67,209.15,207.17
23-07-19,208.84,18355210,208.46,208.91,207.29
